Palavra,Eshemplos,Espanyol,English,Turkish,Origen,id,Portuguese,French
"umiliar, arrebashar",,humillar,humiliate,tahkir etmek,Jeneral,2241,,
una vez ke,,como quiera que,"since, considering",madem ki,Jeneral,2242,,
unir,,unir,unite,birleştirmek,Jeneral,2243,,
uno a otro,,mutuamente,mutually,karşılıklı,Jeneral,2244,,
urbano / a,,urbano / a,"urban, refined",şehirli,Jeneral,2245,,
vaka,,vaca,cow,inek,Jeneral,2246,,
vengansa,,venganza,vengeance,intikam,Jeneral,2247,,
vente,,veinte,twenty,yirmi,Jeneral,2248,,
ventozo,,ventoso,windy,rüzgârlı,Jeneral,2250,,
verso,,hacia,toward,doğru,Jeneral,2251,,
"vestído, vistído (m)",El vistido le viene estrecho.,vestido,"clothing, suit","giysi, kostüm",Jeneral,2252,,
vestirse,,vestirse,"dress, get dressed",giyinmek,Jeneral,2253,,
vida,,vida,life,hayat,Jeneral,2254,,
vidro delantero,,parabrisas,"windscreen, windshield",ön cam,Jeneral,2255,,
viktima,,víctima,victim,"kurban, mağdur",Jeneral,2256,,
vitrina,,escaparate,"showplace, showcase",vitrin,Jeneral,2258,,
voluntad,,voluntad,will,irade,Jeneral,2259,,
votasion,,votación,"vote, voting",oylama,Jeneral,2260,,
"ya, pishin",,ya,"already, at once","artık, hemen",Jeneral,2261,,
yeno de djoya,,enjoyado / a,bejewelled,mücevherle örtülü,Jeneral,2263,,
yerva seka,,heno,hay,kuru ot,Jeneral,2264,,
pina,,piedra,stone,taş,Otros,2267,,
pishar,"Es probablemente del verbo ""pisheti"" de Serbo-Kroatyo. En mi famiya es generalmente usado.","mear , orinar",to piss,"çiş yapmak , işemek",Otros,2268,,
dobro,"Eya es una mujer dobra.
(Un adjektivo d'orijina slava)","bien , bueno","good , nice",iyi,Otros,2269,,
verter,Su konseja triste me izo verter lagrimas.,verter,"pour, spill","dökmek, saçmak",Jeneral,2307,,
diskusion,,discusión,"discussion, argument","münakaşa, müzakere, tartışma",Jeneral,2288,,
elektronika,,electrónica,electronics,elektronik,Jeneral,2290,,
emision,,emisión,emission,"yayın, neşir",Jeneral,2291,,
empriméro (adv.),"Emprimero, ¡SHANA TOVA U METUKA!! ANYADA BUENA I DULSE !
Kualo ke aga emprimero?",al principio,at first,ilk önce,Jeneral,2292,,
enkomendar,,"recomendar, encargar","recommend, place an order","tembih etmek, sipariş etmek",Jeneral,2293,,
enteramente,,enteramente,entirely,tamamen,Jeneral,2294,,
eskrita,,"escrito, manuscrito","letter, written document","belge, el yazması",Jeneral,2295,,
eskudo,"El eskudo es una arma defensiva ke se yevava al braso siedro.
El padre izo de eskudo kon su kuerpo a la kriatura, durante el atako. (Kere dizir ke lo defendio kon su kuerpo).
El Eskudo de David (Magen David) es el simbolo del puevlo djudio.
El ""eskudo"" era en pasado tambien una moneda portugeza.
",escudo,shield,kalkan,Torah/Tanah,2296,,
"familial, familyal",,de familia,family (adj.),ailevî,Jeneral,2297,,
"familiar, familyar",,familiar,familiar,"aşina, bildik",Jeneral,2298,,
fazer,,hacer,"do, make",yapmak,Gresia,2299,,
federasion,,federación,federation,federasyon,Jeneral,2300,,
felisitasion,,felicitación,congratulation,tebrik,Jeneral,2301,,
ekilibrar,,abalanzar,balance,dengelemek,Jeneral,2303,,
"emportánsa, importánsa (f)",No olvidaremos la emportansa de las palavras.,importancia,importance,"önem, ehemmiyet",Jeneral,2309,,
"enteresánte, interesánte (adj)",Los artikolos ke meldamos en Ladinokomunita son uno mas enteresante del otro.,interesante,interesting,ilginç,Jeneral,2311,,
karar,"Miro de eskrivir el karar ke puedo. Kere dizir ke si uno dio karar a una koza o si uno pensa una koza, no troka de opinion.",cuantitad; decision,quantity; decision,kadar; karar,Estanbol,2312,,
kárta (f),Yo meldi tu karta kon muncho intereso.,"carta, tarjeta","letter, card",kart,Jeneral,2313,cartão,carte
kavza,"Ay muncho tiempo ke no vos eskrivo por kavza de mi grande okupasyon.
Kita la kavza, kita el pekado.",causa,cause,sebep,Jeneral,2314,,
kávo (m),"""Sofo letav"" kere dizir ""kavo bueno ke tengamos""!!!.
Me vo kon ti al kavo del mundo. ",cabo,end,son,Jeneral,2315,,
investigador,Yo so investigador de Ladino.,investigador,investigator,"araştırıcı, müfettiş",Jeneral,2316,,
kayo,"Ya me se izo kayo.
",callo,corn (in foot),nasır,Jeneral,2317,,
empréstimo (m),Le dio un emprestimo.,préstamo,loan,ödünç alınan / verilen,Jeneral,2785,,"emprunt, prêt"
Kipur,Todos ke tengash un Kipur livyano i PAS EN EL MUNDO,"Kipur, Día de Ayuno",Jewish Grand Pardon and Fasting Day,Büyük Af ve Oruç Günü,Jeneral,2319,,
kito,Se kazo por la sigundo vez kon un ombre kito tambien.,divorciado,divorcee,boşanmış,Jeneral,2320,,
komun,"Sus lingua komun era el Fransez.
Es una persona muy komun.",común,common,"ortak,müşterek, alelade",Jeneral,2321,,
konsejo,Es kon orgolyo ke resivimos sus mesajes i konsejos.,consejo,"advice, counsel","tavsiye, nasihat, öğüt",Jeneral,2322,,
latin,Ay djente ke konfonden Ladino kon Latin.,latín,latin,"latin, latince",Jeneral,2323,,
"latin, latino",Ay djente ke konfonden Ladino kon Latin.,latín,latin,"latin, latince",Jeneral,2324,,
limon,"""Pishkado i limon i agua de mar, i tu ke no tengas dingun mal""!",limón,lemon,limon,Jeneral,2325,,
lira,La moneda de la Turkiya es la LIRA.,dinero turco,Turkish currency,lira,Estanbol,2326,,
manyana,De la manyana se ve el buen diya.,mañana,"morning, tomorrow","sabah, yarın",Jeneral,2328,,
"maraviyózo, maraviyóza (adj.)",Te felisito por el lavoro maraviyozo ke estas aziendo.,"maravilloso, maravillosa",marvelous,"harika, fevkalade",Jeneral,2329,,
márso (m),"Noche de alhad, el 18 de Marso) tuvimos aki en Dallas un konserto.",marzo,March,Mart,Jeneral,2330,,
mártes (m),"Va estar avierto Martes, Viernes i Alhad.",martes,Tuesday,Salı,Jeneral,2332,,
moro / mora,Djudios i Moros en la literatura espanyola...,moro / mora,Moorish,Mağrıbî,Aki Yerushalayim,2334,,
nazi,Muestra famiya salvo de los nazis.,nazi,nazi,nazi,Jeneral,2335,,
"nóvio, nóvyo / nóvia, nóvya",Lo ke el padre del novyo pago al padre de la novya...,"novio, novia","fiancé, fiancée; newly-wed","nişanlı, yeni evli",Jeneral,2336,,
orijinal,Los orijinales estan en la biblioteka.,original,original,"orijinal, özgün",Jeneral,2337,,
par,Me merki un par de kalsas.,par,"pair, couple",çift,Jeneral,2338,,
pardon,Demando una otra vez pardon a todos.,perdón,"pardon, forgiveness","af, pardon",Jeneral,2339,,
partida,"Las konsejas estan en la partida de djudeo-espanyol de la Gazeta.
E bravo! Ya ganates la partida?"" .","parte, partida",part; game,"kısım, bölüm; el (oyun)",Jeneral,2340,,
partikolar,Esta baza de informasion es un Archivo partikolar.,particular,"particular, peculiar","mahsus, özel; nev'i şahsına münhasır",Jeneral,2341,,
partisipante,Los partisipantes veniyan para diskutir.,participante,participant,iştirakçi,Jeneral,2342,,
periodiko,"Los ke biven en Israel resivieron ayer un periodiko ke se yama ""Ladino"".",periódico,"periodic, periodical",dergi; düzenli aralıklarla tekrarlanan,Jeneral,2343,,
"proksimo, proksima","Para el proksimo Alhad, estamos aparejando un paseyo a Hunkar. ","próximo, próxima","near, next","yakın, gelecek",Jeneral,2344,,
"pronto, pronta",El sharope esta pronto.,"pronto, pronta; preparado, preparada",ready,hazır,Jeneral,2345,,
red,,red,net,ağ,Jeneral,2346,,
reunion,Se puede azer una reunion en la universita. ,reunión,"reunion, meeting, gathering",toplantı,Aki Yerushalayim,2347,,
son,Se oye el son de la kampana.,son,sound,ses,Jeneral,2348,,
tradision,Entre los djudios de Izmir ay una tradision ke es unika en el mundo entero.,tradición,tradition,"gelenek, anane",Jeneral,2349,,
tradision,"Entre los djudios de Izmir, ay una tradision ke es unika en el mundo entero.",tradición,tradition,"gelenek, anane",Jeneral,2350,,
"uzado, uzada","Les viene mas fasil eskrivir asigun estan uzados.

Le dio dos manteles dayinda no uzados.","usado, usada",used; worn,alışık; kullanılmış,Jeneral,2351,,
"vario, varia",El djudeo-espanyol (ladino) tiene varios dialektos.,"vario, varia",various,muhtelif,Jeneral,2352,,
yerno,"Amistad de yerno, sol d'invierno.",yerno,son-in-law,damat,Jeneral,2353,,
reushitá (f),Le dezeamos viaje bueno i reushita buena.,"éxito, logro","success, achievement",başarı,Jeneral,2355,êxito,réussite
"safanórya, karóta (f)",Komimos una salata de safanorya.,zanahoria,carrot,havuç,Estanbol,2356,,
asér ke (adv.),"Dizen ke es muy riko, aser ke yo se ke pedrio toda su fortuna al djugo.","mientras que, no obstante, por tanto",whereas,"halbuki, oysa",Jeneral,2363,,
a (prep.),"A todos los muevos abonados, vos digo un grande ""bienvenidos"".",a,"at, to","a, e, ya, ye",Jeneral,2368,,
água (f),Ofriyan dulses kon una tavla de plata kon vazos de agua freska.,agua,water,su,Jeneral,2371,,
"aínda, ayínda, daínda (adv.)",Ya tomo muncho i dainda demanda.,"aún, todavía","yet, still","henüz, hâlâ, hâlen",Otros,2372,,
"akademíya, akademía (f)",Ay una akademia relijioza Porat Yosef en Yerushalayim.,academia,academy,akademi,Jeneral,2374,,
"akél, akéya (adj.+ pron.)","En akel momento me akodri lo ke diziya mi madre.
Oye lo ke dize akel.","aquel, aquella",that,o,Jeneral,2375,,
aktividád (f),El lavora anchamente en munchas aktividades.,actividad,activity,"faaliyet, etkinlik",Jeneral,2376,,
al (a el) (prep.),Kere amostrar su mujer al mundo entero.,al (a el),"at, to","a, e, ya, ye",Jeneral,2377,,
ála (f),"La gayina tiene alas, ma no bola.",ala,wing,kanat,Jeneral,2378,,
"alegría, alegríya (f)",Sintir i kantar kantikas - mos dio alegriya a los korasones!,alegría,"joy, happiness","neşe, sevinç, şenlik",Jeneral,2379,,
"alemán, almán  (m)",Su livro fue publikado i en aleman.,alemán,German,"Alman, almanca",Jeneral,2380,alemão,allemand
álma (f),"Ke su alma repoze en paz.
Lo kero komo mi alma.
El ojo ve, la alma dezea.",alma,"soul, spirit","can, ruh, tin",Jeneral,2381,,
amén (m),"Vida larga i salud buena ke tenga, amen.
Por un amen ke no kede.",amén,amen,amin,Jeneral,2382,,
"amerikána, merkána (f)",Ize dodje ridas de amerikana para el bebe.,tela de algodón,"Calico, cotton cloth",Amerikan bezi,Estanbol,2383,,
amór (m),Mas vale pan kon amor ke gayina kon dolor (Neh.),amor,love,"aşk, sevda, sevgi",Jeneral,2384,amor,amour
aníyo (m),Le regalo un aniyo de oro.,anillo,ring,yüzük,Jeneral,2385,anel,bague
apárte (adv.),"Kuando se kazo, biviya kon sus parientes; agora se salio aparte.
Me puedes eskrivir aparte si keres.",aparte,"apart, aside","ayrı, ayrıca",Jeneral,2386,,
apóyo (m),A lo menos tendremos su apoyo moral.,apoyo,support,"destek, dayanak",Jeneral,2389,,
"as, ázo (m)",Era un as en su echo.,as,ace,as,Jeneral,2390,,
así,"Azme este plazer, asi tengas todo bueno, asi bivas munchos anyos.
Asi biva yo ke te dishe la vedra.",así,"so, thus","böyle, böylece",Jeneral,2391,,
asperár,Asperame aki una orika.,esperar,wait,beklemek,Jeneral,2392,,
ásta (prep.),De Salonik asta Atena ay kinyentos kilometros.,hasta,"till, until, up to","kadar, dek",Jeneral,2507,,"jusque, jusqu'à"
"atansión, atansyón, atensión",Meldi el artikolo kon grande atansion i alegriya. ,atención,"attention, civility","dikkat, itina",Jeneral,2394,,
atrás,Ni palavra ni pyedrada no tornan atras (Neh.),atrás,"back, backwards, behind","geri, ard",Jeneral,2395,,
aunke,Te lo vo a dar aunke no lo mereskas.,aunque,"although, though","rağmen, olduğu halde",Jeneral,2396,,
ávla,"En la avla de Rodes, no entran munchos biervos en fransez.",habla,"speeh, language, dialect","konuşma, laf, dil, lehçe",Jeneral,2398,,
avladéro,"Todo lo ke disho, no tiene dinguna valor: es todo avladero.",cháchara,"babbling, chattering",gevezelik,Jeneral,2399,,
avlánte,Ay dainda tantos amantes i avlantes de muestra lingua...,hablante,speaker,konuşan,Jeneral,2400,,
áyde,Ayde no tenemos tiempo.,vamos,come on,haydi,Estanbol,2401,,
ayúda (f),Todo se va enderechar kon ayuda del Dio.,ayuda,"help, assistance, aid",yardım,Jeneral,2402,,
ayúda (f),El doktor le rekomendo una ayuda.,enema,enema,"lavman, şırınga",Estanbol,2403,,
bastánte,"Lavorava muncho, ma no ganava bastante.",bastante,"enough, quite","yeterince, kâfi",Jeneral,2405,,
"beraha, bendision",Salud i Beraha se le aga todo lo ke komio.,bendición,benediction,hayır duası,Jeneral,2406,,
bézo,Munchos bezos a todos i asperemos ke en serka mos eskrivan aki...,beso,kiss,"buse, öpücük",Jeneral,2408,,
bóka (f),Se kito el pan de la boka para mantener a sus ermanos.,boca,mouth,ağız,Jeneral,2410,boca,bouche
boz (f),No se le siente la boz.,voz,voice,ses,Jeneral,2411,voz,voix
"brávo, bráva (adj.)","Admiro estos bravos djurnalistos.
","bravo, brava",brave,cesur,Jeneral,2412,,
brávo (interj.),"Bravo, i grasias por tus komentarios.",bravo,bravo,aferin,Jeneral,2656,,
búto,Muestro buto prinsipal es de promover el uzo del Ladino.,meta,goal,"amaç, emel, gaye",Jeneral,2414,,
dáta,Un buen merkader paga su bono a su data.,fecha,date,tarih - gün/ay/yıl olarak,Jeneral,2415,,
de muévo,"I yo respondi de muevo, i dishe ke mas no vo eskrivir.",de nuevo,again,"yeniden, yine, gene",Jeneral,2416,,
deké,No se deke en vezes el mizmo mesaj sale dos vezes.,"por qué, para qué",why,"neden, niye",Jeneral,2417,,
demánda,Tuvimos munchas demandas de ayudar en la gramatika de ladino.,pregunta,"question, request","soru, sual, talep",Jeneral,2418,,
derécho (m),Kada uno tiene el derecho de eskrivir i avlar kome kere.,derecho,"right, straight","hak, yetki, doğru",Jeneral,2419,,
detrás,Kaminavan uno detras del otro.,detrás,behind,"arkasında, gerisinde",Jeneral,2420,,
dialékto,"Es orijinaryo de Sarayevo, i tiene el dialekto de los djudios.",dialecto,dialect,"lehçe, diyalekt",Jeneral,2421,,
dícha,Todas las dichas ke te akodrates son las mismas ke i yo me akodro...,dicho,saying,deyim,Jeneral,2422,,
dícha,Ke negra tuvimos la dicha! (Neh.),dicha,good luck,şans,Jeneral,2423,,
diferénte,Teniyan unos kuantos biervos diferentes ke solo eyos uzavan.,diferente,"different, un like","değişik, farklı",Jeneral,2424,,
difísil,Es una koza muy difisil a dar a entender.,difícil,difficult,zor,Jeneral,2425,,
"diksionário, diksionáryo","Ayer merki un diksionario inglez-ladino, ladino-inglez.",diccionario,dictionary,"lugat, sözlük",Jeneral,2426,,
djudaísmo,El es una de las figuras mas veneradas del djudaismo.,judaísmo,judaism,"yahudilik, Musevilik",Jeneral,2427,,
djústo,Pagan djustos por pekadores. (Neh.),justo,"just, right, fair","tam, tamam, doğru, adil",Jeneral,2428,,
dokuménto (m),"Meldar dokumentos en solitreo no es muy fasil, no es kolay.","documento, cédula","document, certificate","belge, evrak, vesika, doküman",Jeneral,2429,,
e,Estudios de lingua e istoria...,e,and,"ve, veya, yahut",Jeneral,2430,,
écha,Le van a pagar segun sus echas.,"hecho, acto, acción realizada",accomplished action,"bitmiş iş, yapılmış iş",Jeneral,2431,,
en,"Bivo muy leshos , en el kampo.",en,"in, into, upon, at, by","içinde, da, de",Jeneral,2432,,
ensíma,Pasa el fregon por ensima el moble.,encima,"above, over, on top",üstünde,Jeneral,2433,,
enéro,"Entre los dias 4 asta 9 de enero me vo topar en ""Kings Point"".",enero,January,Ocak ayı,Jeneral,2434,,
enshémplo,Aki te mando unos kuantos enshemplos del fenomeno linguistiko.,ejemplo,example,"misal, örnek",Jeneral,2435,,
"entónses, estónses",Estonses i agora no! (Todo lo bueno kedo en el pasado!) (Neh.),entonces,"then, at that time",o zaman,Jeneral,2437,,
epóka,Saves de ke epoka era esta kantika?,época,"epoch, period, time","devir, zaman",Jeneral,2438,,
éra (epóka),Esto todo se paso en la era Romana.,era,"era, age","devir, çağ",Jeneral,2439,,
ermozúra,Es una prova de la ermozura i de la rikeza de muestra kultura.,hermosura,"beauty, loveliness",güzellik,Jeneral,2440,,
eskríto,Lo tengo todo por eskrito.,escrito,"writing, document","yazı, evrak",Jeneral,2441,,
afilú (adv.),Una madre kere a su ijo afilu si es un bandido. (Neh.),"aunque, mismo",though,"bile, hatta",Jeneral,2442,,"même, bien que, quoique"
eskritúra (f),Mi mama teniya una eskritura muy buena.,escritura,"writing, script, handwriting","yazı, elyazısı",Jeneral,2444,,
espesialménte,"Por mozotros espesialmente, esto era i es muy importante.",especialmente,especially,özellikle,Jeneral,2445,,
ésta,"Entre estas i estas, ya se izo de noche.",esta,this (fem.),bu (dişi),Jeneral,2446,,
estimádo,Estimados Amigos de LK.,estimado,esteemed,muhterem,Jeneral,2447,,
estimár,Devemos de estimarmos orozos !!,estimar,esteem,"takdir etmek, paha biçmek",Jeneral,2448,,
ésto,En esto vamos a kedar? Avlaremos de otra koza.,esto,this (masc.),bu (erkek),Jeneral,2449,,
estúdio,El mas importante es el estudio del Gershom Scholem.,estudio,study,"çalışma, öğrenme, araştırma",Jeneral,2450,,
"Ets., etsétera","El espanyol, fransez, italiano, ets. son linguas latinas.","etc., etcétera","etc., et caetera, and so on","v.s., ve saire",Jeneral,2451,,
éya,Eya era la mas chika de 19 kriaturas! ,ella,"she, her",o (kadın için),Jeneral,2452,,
éyos / éyas (pron.),No ay nada de esperar de eyos.,"ellos, ellas","they, them",onlar,Jeneral,2453,,
folklór,Azen esforsos para no abandonar el folklor i la lingua de los avuelos.,folklore,folklore,folklor,Jeneral,2455,,
"fránko, fránka","El lavoro era simple, ma lo izo kon hadras de franko. (Neh.)","franco, franca","frank, open, Frankish","samimi, frenk",Jeneral,2456,,
"fuégo, huégo (m)","Ay muncha kalor, el sol esta fuego! (Neh.)
Flama sin fuego no ay.",fuego,fire,"ateş, yangın",Jeneral,2457,,
"fuérsa, huérsa",Kerer bien por fuersa no ay. (Neh.),fuerza,"force, strength","güç, kuvvet, derman, takat",Jeneral,2458,,
futúro,Rogamos ke en el futuro mos eskrivas en Ladino.,futuro,future,"gelecek zaman, ati",Jeneral,2459,,
gramátika,Mas vale la prátika ke la gramátika. (Neh.),gramática,grammer,dilbilgisi,Jeneral,2460,,
grándes,Kantikas espanyolas ke mos deshavan tresalidos a grandes i chikos...,grandes,"the great, the elder",büyükler,Jeneral,2461,,
grégo / gréga (m+f),Se eskondieron en kazas de amigos gregos durante el tiempo de la gerra.,"griego, griega",Greek,"Rum, Yunanlı",Jeneral,2462,,
grúpo (m), Tenemos un grupo ke yamomos 'Los Pregoneros' (The Storytellers).,grupo,group,grup,Jeneral,2463,,
pányo (m),"Arremenda tu panyo, lo yevaras otro un anyo. (Neh.)",paño,piece of cloth,bez,Jeneral,2792,,
gustár,Me va gustar muncho si un miembro los konose i me puede dar su adreso.,gustar,"please, be pleasing",hoşuna gitmek,Jeneral,2466,,
habér,Ke haber? - Todo bueno.,"noticia, información","news, information",haber,Estanbol,2468,,
gustárse,Mos gustimos de ver ke merkaron una kaza muy ermoza.,alegrarse,rejoice,sevinmek,Jeneral,2469,,
havér (haverím),El ganar i el pedrer son haverim.,socio (socios),partner (partners),ortak (ortaklar),Jeneral,2470,,
hahám,Kada uno es haham en su ofisio. (Neh.),"rabino, experto","rabbi, expert","haham, usta",Jeneral,2471,,
hazán,Mas vale el hazan ke todo el kal. (Neh.),rabino oficiante,officiating rabbi,görevli haham,Jeneral,2472,,
íjos (m/pl),Todos somos ijos de las Mitzvot.,hijos,children,evlât,Jeneral,2474,,enfants
institúto,"En el ""Instituto Cervantes"" de Estanbol, ay kursos para los sefaradim. 

",instituto,institute,"enstitü, müessese",Jeneral,2476,,
ivrít,Avlo en ivrit sovre la lingua i los uzos.,hebreo,Hebrew,Ibranice,Jeneral,2478,,
"estórias, istórias, estóryas",No me kontes estoryas de mil i una noche.,historias,gossip,"masal, martaval",Jeneral,2479,,
júnio,Van a tener (EL DIA DE DJOHA) el 20 de Junio.,junio,June,Haziran,Jeneral,2481,,
kal,"Istanbullis: Vos keriya demandar si ""el Kal de los Frankos"" egziste oy. ",sinagoga,synagogue,"havra, sinagog",Jeneral,2482,,
"kal (biva), (amatada)",Enkalaron la kaza kon kal blanka.,"cal (viva), (apagada)","lime (quicklime), (slaked lime)","kireç (sönmemiş), (sönmüş)",Jeneral,2483,,
kále,Esto kale meterlo en un teatro Sefaradi. ,se debe,must,gerekir,Jeneral,2484,,
káma,"La kama es una buena koza,
si no se durme se arrepoza. (Neh.)",cama,"bed, bedding","yatak, döşek",Jeneral,2485,,
kamíno,Ke tengan todos kaminos de leche i miel i al vermos.,camino,"road, way",yol,Jeneral,2486,,
káma,"La kama es una buena koza,
si no se durme se arrepoza. (Neh.)",cama,"bed, bedding","yatak, döşek",Jeneral,2487,,
kánte,Sintimos muchos kantes en djudeo-espanyol.,cante,"singing, popular song","şarkı, türkü",Jeneral,2488,,
